HCPCS_CD,HCPCS_CD_DESC
77080,"DXA BONE DENSITY MEASUREMENT OF HIP, PELVIS, SPINE"
77081,"DXA BONE DENSITY MEASUREMENT OF FOREARM, FINGER, HAND, OR FOOT"
77082,SPINE SCANNING X-RAY DONE WITH BONE DENSITY MEASUREMENT FOR SPINE COMPRESSION
77084,MRI SCAN OF BONE MARROW
77085,"DXA BONE DENSITY MEASUREMENT OF HIP, PELVIS, SPINE INCLUDING SPINE FRACTURE ASSESSMENT"
77086,FRACTURE ASSESSMENT OF SPINE BONES USING DXA
77089,CALCULATION OF TRABECULAR BONE SCORE (TBS) USING IMAGING DATA WITH INTERPRETATION AND REPORT ON FRACTURE RISK
77090,TECHNICAL PREPARATION AND TRANSMISSION OF IMAGING DATA FOR ANALYSIS OF TRABECULAR BONE SCORE (TBS) PERFORMED ELSEWHERE
77091,TECHNICAL CALCULATION OF TRABECULAR BONE SCORE (TBS)
77092,INTERPRETATION OF TRABECULAR BONE SCORE (TBS) AND REPORT ON FRACTURE RISK
77261,SIMPLE RADIATION THERAPY PLANNING
77262,INTERMEDIATE RADIATION THERAPY PLANNING
77263,COMPLEX RADIATION THERAPY PLANNING
77280,"OBTAINING DATA NEEDED TO DEVELOP THE OPTIMAL RADIATION TREATMENT, 1 TREATMENT AREA"
77285,"OBTAINING DATA NEEDED TO DEVELOP THE OPTIMAL RADIATION TREATMENT, 2 TREATMENT AREAS"
77290,"OBTAINING DATA NEEDED TO DEVELOP THE OPTIMAL RADIATION TREATMENT, 3 OR MORE TREATMENT AREAS OR ANY NUMBER OF TREATMENT AREAS WHERE SPECIAL TREATMENT IS INVOLVED"
77293,OBTAINING RESPIRATORY DATA NEEDED TO DEVELOP THE OPTIMAL RADIATION TREATMENT
77295,3D RADIATION THERAPY PLANNING
77299,OTHER MANAGEMENT OF RADIATION THERAPY OR THERAPEUTIC RADIOLOGY
77300,CALCULATION OF RADIATION THERAPY DOSE
77301,HIGH PRECISION RADIATION THERAPY PLANNING
77305,"ISODOSE RADIATION THERAPY PLAN, 1 OR MORE PORTS, SINGLE AREA"
77306,SIMPLE RADIATION THERAPY PLANNING FOR DELIVERY OF EXTERNAL RADIATION
77307,COMPLEX RADIATION THERAPY PLANNING FOR DELIVERY OF EXTERNAL RADIATION
77310,"ISODOSE RADIATION THERAPY PLAN, 3 OR MORE PORTS, SINGLE AREA"
77315,"ISODOSE RADIATION THERAPY PLAN, COMPLEX"
77316,SIMPLE RADIATION THERAPY PLANNING FOR DELIVERY OF INTERNAL RADIATION
77317,INTERMEDIATE RADIATION THERAPY PLANNING FOR DELIVERY OF INTERNAL RADIATION
77318,COMPLEX RADIATION THERAPY PLANNING FOR DELIVERY OF INTERNAL RADIATION
77321,SPECIAL RADIATION THERAPY PLANNING FOR DELIVERY OF EXTERNAL RADIATION
77326,"BRACHYTHERAPY RADIATION THERAPY PLAN (1 TO 4 APPLICATIONS, 9 TO 12 BRACHYTHERAPY SOURCES)"
77327,"BRACHYTHERAPY RADIATION THERAPY PLAN (5 TO 10 APPLICATIONS, 9 TO 12 BRACHYTHERAPY SOURCES)"
77328,"BRACHYTHERAPY RADIATION THERAPY PLAN (OVER 10 APPLICATIONS, OVER 12 BRACHYTHERAPY SOURCES)"
77331,SPECIAL RADIATION THERAPY PLANNING
77332,DESIGN AND CONSTRUCTION OF SIMPLE RADIATION TREATMENT DEVICE
77333,DESIGN AND CONSTRUCTION OF INTERMEDIATE RADIATION TREATMENT DEVICE
77334,DESIGN AND CONSTRUCTION OF COMPLEX RADIATION TREATMENT DEVICE
77336,CONTINUING RADIATION THERAPY CONSULTATION PER WEEK
77338,DESIGN AND CONSTRUCTION OF RADIATION TREATMENT DEVICE FOR HIGH PRECISION RADIATION THERAPY
77370,SPECIAL MEDICAL RADIATION THERAPY CONSULTATION
77371,COMPLETE SINGLE SESSION COURSE OF CRANIAL LESION SURGERY USING RADIATION
77372,COMPLETE SINGLE SESSION COURSE OF CRANIAL LESION SURGERY USING RADIATION AND A MACHINE TO DELIVER EXTERNAL RADIATION
77373,DELIVERY OF RADIATION THERAPY PER DOSE TO 1 OR MORE LESIONS NOT TO EXCEED 5 DOSES
77385,DELIVERY OF SIMPLE HIGH PRECISION RADIATION TREATMENT
77386,DELIVERY OF COMPLEX HIGH PRECISION RADIATION TREATMENT
77387,IMAGING GUIDANCE FOR LOCALIZATION OF RADIATION TREATMENT
77399,OTHER MANAGEMENT OF RADIATION THERAPY AND MEDICAL RADIATION PHYSICS
77401,SUPERFICIAL AND/OR LOW VOLTAGE RADIATION TREATMENT DELIVERY
77402,DELIVERY OF SIMPLE RADIATION TREATMENT
77403,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA"
77404,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA"
77406,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA"
77407,DELIVERY OF INTERMEDIATE RADIATION TREATMENT
77408,"RADIATION TREATMENT DELIVERY, TWO TREATMENT AREAS, 3 OR MORE PORTS"
77409,"RADIATION TREATMENT DELIVERY, TWO TREATMENT AREAS, 3 OR MORE PORTS"
77411,"RADIATION TREATMENT DELIVERY, TWO TREATMENT AREAS, 3 OR MORE PORTS"
77412,DELIVERY OF COMPLEX RADIATION TREATMENT
77413,"RADIATION TREATMENT DELIVERY, THREE OR MORE TREATMENT AREAS"
77414,"RADIATION TREATMENT DELIVERY, THREE OR MORE TREATMENT AREAS"
77416,"RADIATION TREATMENT DELIVERY, THREE OR MORE TREATMENT AREAS"
77417,X-RAY DURING RADIATION THERAPY
77418,INTENSITY MODULATED RADIATION TREATMENT DELIVERY PER SESSION
77421,X-RAY GUIDANCE FOR RADIATION THERAPY DELIVERY
77422,"RADIATION TREATMENT DELIVERY, HIGH ENERGY, SINGLE TREATMENT AREA"
77423,DELIVERY OF SPECIALIZED EXTERNAL RADIATION TREATMENT
77424,DELIVERY OF SINGLE SESSION OF INTRAOPERATIVE RADIATION TREATMENT WITH X-RAY
77425,DELIVERY OF SINGLE SESSION OF INTRAOPERATIVE RADIATION TREATMENT WITH ELECTRON BEAM
77427,"RADIATION TREATMENT MANAGEMENT, 5 TREATMENT SESSIONS"
77431,"RADIATION TREATMENT MANAGEMENT, 1-2 TREATMENT SESSIONS"
77432,MANAGEMENT OF COMPLETE SINGLE SESSION COURSE OF STEREOTACTIC RADIATION TREATMENT FOR CRANIAL LESION(S)
77435,MANAGEMENT OF STEREOTACTIC BODY RADIATION THERAPY FOR CRANIAL LESION(S) OVER 1-5 SESSIONS
77469,MANAGEMENT OF INTRAOPERATIVE RADIATION TREATMENT
77470,SPECIAL RADIATION TREATMENT
77499,OTHER MANAGEMENT OF RADIATION THERAPY
77520,SIMPLE PROTON BEAM RADIATION TREATMENT
77522,SIMPLE PROTON BEAM RADIATION TREATMENT WITH COMPENSATION
77523,INTERMEDIATE PROTON BEAM RADIATION TREATMENT
77525,COMPLEX PROTON BEAM RADIATION TREATMENT
77600,"USE OF EXTERNALLY GENERATED HEAT TO INCREASE TEMPERATURE OF CANCER CELL, HEATING TO DEPTHS 4.0 CM OR LESS"
77605,"USE OF EXTERNALLY GENERATED HEAT TO INCREASE TEMPERATURE OF CANCER CELL, HEATING TO DEPTHS MORE THAN 4.0 CM"
77610,"USE OF INTERSTITIAL PROBE GENERATED HEAT TO INCREASE TEMPERATURE OF CANCER CELL, 1-5 PROBES"
77615,"USE OF INTERSTITIAL PROBE GENERATED HEAT TO INCREASE TEMPERATURE OF CANCER CELL, MORE THAN 5 PROBES"
77620,USE OF BODY CAVITY PROBE GENERATED HEAT TO INCREASE TEMPERATURE OF CANCER CELL
77750,INFUSION OR INSTILLATION OF RADIOELEMENT SOLUTION
77761,SIMPLE BODY CAVITY RADIATION SOURCE APPLICATION
77762,INTERMEDIATE BODY CAVITY RADIATION SOURCE APPLICATION
77763,COMPLEX BODY CAVITY RADIATION SOURCE APPLICATION
77767,"HIGH DOSE SKIN SURFACE RADIATION THERAPY, 1 CHANNEL OR LESION DIAMETER 2.0 CM OR LESS"
77768,"HIGH DOSE SKIN SURFACE RADIATION THERAPY, 2 CHANNELS AND LESION DIAMETER MORE THAN 2.0 CM, OR MULTIPLE LESIONS"
77770,"HIGH DOSE RADIATION THERAPY, 1 CHANNEL"
77771,"HIGH DOSE RADIATION THERAPY, 2-12 CHANNELS"
77772,"HIGH DOSE RADIATION THERAPY, MORE THAN 12 CHANNELS"
77776,"APPLICATION OF RADIATION SOURCE, SIMPLE"
77777,"APPLICATION OF RADIATION SOURCE, INTERMEDIATE"
77778,COMPLEX APPLICATION OF RADIATION SOURCE
77785,"HIGH DOSE BRACHYTHERAPY DELIVERY, 1 CHANNEL"
77786,"HIGH DOSE BRACHYTHERAPY DELIVERY, 2-12 CHANNELS"
77787,"HIGH DOSE BRACHYTHERAPY DELIVERY, OVER 12 CHANNELS"
77789,SURFACE APPLICATION OF LOW DOSE RATE SOURCE
77790,"SUPERVISION, HANDLING, AND LOADING OF RADIATION SOURCE"
77799,OTHER ADMINISTRATION OF RADIATION THERAPY
78012,NUCLEAR MEDICINE STUDY OF THYROID FUNCTION
78013,NUCLEAR MEDICINE STUDY OF THYROID
78014,NUCLEAR MEDICINE STUDY OF THYROID AND THYROID FUNCTION
78015,NUCLEAR MEDICINE STUDY OF LIMITED AREA FOR THYROID CANCER
78016,"NUCLEAR MEDICINE STUDIES FOR THYROID CANCER, ADDITIONAL STUDIES"
78018,NUCLEAR MEDICINE STUDY OF WHOLE BODY FOR THYROID CANCER
78020,NUCLEAR MEDICINE STUDY OF THYROID FUNCTION FOR THYROID CANCER
78070,NUCLEAR MEDICINE STUDY OF PARATHYROID
78071,NUCLEAR MEDICINE STUDY OF PARATHYROID WITH SPECT
78072,NUCLEAR MEDICINE STUDY OF PARATHYROID WITH SPECT AND CT SCAN
78075,NUCLEAR MEDICINE STUDY OF ADRENAL GLANDS
78099,NUCLEAR MEDICINE STUDY OF ENDOCRINE ORGANS
78102,NUCLEAR MEDICINE STUDY OF BONE MARROW LIMITED AREA
78103,NUCLEAR MEDICINE STUDY OF BONE MARROW MULTIPLE AREAS
78104,NUCLEAR MEDICINE STUDY OF BONE MARROW WHOLE BODY
78110,"NUCLEAR MEDICINE STUDY OF PLASMA VOLUME, 1 SAMPLING"
78111,"NUCLEAR MEDICINE STUDY OF PLASMA VOLUME, MULTIPLE SAMPLINGS"
78120,"NUCLEAR MEDICINE STUDY OF RED BLOOD CELL VOLUME, SINGLE SAMPLE"
78121,"NUCLEAR MEDICINE STUDY OF RED BLOOD CELL VOLUME, MULTIPLE SAMPLES"
78122,NUCLEAR MEDICINE STUDY OF WHOLE BLOOD VOLUME
78130,NUCLEAR MEDICINE STUDY OF RED BLOOD CELL SURVIVAL
78135,NUCLEAR MEDICINE STUDY OF RED BLOOD CELL
78140,NUCLEAR MEDICINE STUDY OF RADIOISOTOPE LABELED RED BLOOD CELLS
78185,NUCLEAR MEDICINE STUDY OF SPLEEN
78190,NUCLEAR MEDICINE STUDY OF SURVIVAL OF BLOOD CELL
78191,NUCLEAR MEDICINE STUDY OF PLATELET SURVIVAL
78195,NUCLEAR MEDICINE STUDY OF LYMPHATIC SYSTEM
78199,NUCLEAR MEDICINE STUDY OF BLOOD AND LYMPHATIC SYSTEMS
78201,NUCLEAR MEDICINE STUDY OF LIVER
78202,NUCLEAR MEDICINE STUDY OF LIVER AND BLOOD FLOW
78205,NUCLEAR MEDICINE STUDY OF LIVER
78206,NUCLEAR MEDICINE STUDY OF LIVER WITH BLOOD FLOW
78215,NUCLEAR MEDICINE STUDY OF LIVER AND SPLEEN
78216,"NUCLEAR MEDICINE STUDY OF LIVER, SPLEEN, AND BLOOD FLOW"
78226,NUCLEAR MEDICINE STUDY OF LIVER AND BILE DUCT SYSTEM
78227,NUCLEAR MEDICINE STUDY OF LIVER AND BILE DUCT SYSTEM WITH USE OF DRUGS
78230,NUCLEAR MEDICINE STUDY OF SALIVARY GLAND
78231,NUCLEAR MEDICINE STUDY OF SALIVARY GLAND WITH SERIAL IMAGES
78232,NUCLEAR MEDICINE STUDY OF SALIVARY GLAND FUNCTION
78258,NUCLEAR MEDICINE STUDY OF ESOPHAGUS TO ASSESS MOVEMENT
78261,NUCLEAR MEDICINE STUDY OF STOMACH LINING
78262,NUCLEAR MEDICINE STUDY OF STOMACH AND ESOPHAGUS TO ASSESS REFLUX
78264,NUCLEAR MEDICINE STUDY OF STOMACH TO ASSESS EMPTYING
78265,NUCLEAR MEDICINE STUDY OF STOMACH TO ASSESS EMPTYING AND SMALL BOWEL MOVEMENT
78266,NUCLEAR MEDICINE STUDY OF STOMACH TO ASSESS EMPTYING AND SMALL AND LARGE BOWEL MOVEMENT
78267,NUCLEAR MEDICINE STUDY TO ACQUIRE EXHALED BREATH SAMPLES
78268,NUCLEAR MEDICINE STUDY TO ASSESS EXHALED BREATH SAMPLES
78270,VITAMIN B-12 ABSORPTION STUDY
78271,VITAMIN B-12 ABSORPTION STUDY WITH FACTOR NECESSARY FOR ABSORPTION
78272,VITAMIN B-12 ABSORPTION STUDY WITHOUT THEN WITH FACTOR NECESSARY FOR ABSORPTION
78278,NUCLEAR MEDICINE STUDY TO ASSESS BLOOD LOSS
78282,NUCLEAR MEDICINE STUDY TO ASSESS PROTEIN LOSS INTO THE DIGESTIVE TRACT
78290,NUCLEAR MEDICINE STUDY OF INTESTINE
78291,NUCLEAR MEDICINE STUDY TO ASSESS THE DEGREE OF OPENNESS OF SHUNT FROM JUGULAR VEIN TO ABDOMINAL CAVITY
78299,NUCLEAR MEDICINE STUDY OF DIGESTIVE TRACTS
78300,NUCLEAR MEDICINE STUDY OF BONE AND/OR JOINT LIMITED AREA
78305,NUCLEAR MEDICINE STUDY OF BONE AND/OR JOINT MULTIPLE AREAS
78306,NUCLEAR MEDICINE STUDY OF BONE AND/OR JOINT WHOLE BODY
78315,NUCLEAR MEDICINE STUDY OF BONE TAKEN AT DIFFERENT TIMES
78320,NUCLEAR MEDICINE STUDY OF BONE AND/OR JOINT
78350,NUCLEAR MEDICINE STUDY TO MEASURE BONE LOSS USING 1 PHOTON BEAM
78351,NUCLEAR MEDICINE STUDY TO MEASURE BONE LOSS USING 2 PHOTON BEAMS
78399,OTHER NUCLEAR MEDICINE STUDY OF MUSCULOSKELETAL SYSTEM
78414,NUCLEAR MEDICINE STUDY OF CARDIOVASCULAR FUNCTION
78428,NUCLEAR MEDICINE STUDY FOR DETECTING HEART SHUNT
78429,NUCLEAR MEDICINE STUDY OF HEART MUSCLE WITH METABOLIC EVALUATION AND CONCURRENT CT SCAN
78430,NUCLEAR MEDICINE STUDY OF BLOOD FLOW IN HEART MUSCLE AT REST AND WITH STRESS WITH CONCURRENT CT SCAN
78431,NUCLEAR MEDICINE STUDIES OF BLOOD FLOW IN HEART MUSCLE AT REST AND WITH STRESS WITH CONCURRENT CT SCAN
78432,NUCLEAR MEDICINE STUDY OF HEART MUSCLE WITH METABOLIC AND BLOOD FLOW EVALUATION REQUIRING 2 INJECTIONS
78433,NUCLEAR MEDICINE STUDY OF HEART MUSCLE WITH METABOLIC AND BLOOD FLOW EVALUATION REQUIRING 2 INJECTIONS AND CONCURRENT CT SCAN
78434,NUCLEAR MEDICINE STUDY OF HEART MUSCLE BLOOD FLOW BY PET
78445,NUCLEAR MEDICINE STUDY OF NON-CARDIAC BLOOD FLOW
78451,NUCLEAR MEDICINE STUDY OF HEART MUSCLE AT REST AND WITH STRESS AND SPECT
78452,NUCLEAR MEDICINE STUDIES OF HEART MUSCLE AT REST AND WITH STRESS AND SPECT
78453,NUCLEAR MEDICINE STUDY OF HEART MUSCLE AT REST AND WITH STRESS WITH SINGLE 2D IMAGE
78454,NUCLEAR MEDICINE STUDIES OF HEART MUSCLE AT REST AND WITH STRESS WITH SINGLE 2D IMAGE
78456,NUCLEAR MEDICINE STUDY TO ASSESS BLOOD CLOT IN VEIN USING RADIOLABELED PEPTIDE
78457,NUCLEAR MEDICINE STUDY TO ASSESS BLOOD CLOT IN VEIN OF SIDE
78458,NUCLEAR MEDICINE STUDY TO ASSESS BLOOD CLOT IN VEIN OF BOTH SIDES
78459,NUCLEAR MEDICINE STUDY OF HEART MUSCLE WITH METABOLIC EVALUATION
78466,NUCLEAR MEDICINE STUDY OF HEART MUSCLE FOLLOWING HEART ATTACK
78468,NUCLEAR MEDICINE STUDY OF HEART MUSCLE FOLLOWING HEART ATTACK WITH MEASUREMENT OF INTERNAL BLOOD VOLUME EJECTED WITH EVERY BEAT
78469,NUCLEAR MEDICINE STUDY OF HEART MUSCLE FOLLOWING HEART ATTACK WITH SPECT
78472,NUCLEAR MEDICINE STUDY OF HEART PUMPING FUNCTION BY LABELING RED BLOOD CELLS WITH MEASUREMENT OF INTERNAL BLOOD VOLUME EJECTED WITH EVERY BEAT OVER MULTIPLE CYCLES
78473,NUCLEAR MEDICINE STUDIES OF HEART PUMPING FUNCTION BY LABELING RED BLOOD CELLS WITH MEASUREMENT OF INTERNAL BLOOD VOLUME EJECTED WITH EVERY BEAT OVER MULTIPLE CYCLES
78481,NUCLEAR MEDICINE STUDY OF HEART PUMPING FUNCTION WITH MEASUREMENT OF INTERNAL BLOOD VOLUME EJECTED WITH EVERY BEAT OVER A SINGLE CYCLE
78483,NUCLEAR MEDICINE STUDIES OF HEART PUMPING FUNCTION BY FIRST PASS TECHNIQUE WITH MEASUREMENT OF INTERNAL BLOOD VOLUME EJECTED WITH EVERY BEAT OVER A SINGLE CYCLE
78491,NUCLEAR MEDICINE STUDY OF BLOOD FLOW IN HEART MUSCLE AT REST AND WITH STRESS
78492,NUCLEAR MEDICINE STUDIES OF BLOOD FLOW IN HEART MUSCLE AT REST AND WITH STRESS
78494,NUCLEAR MEDICINE STUDY OF HEART PUMPING FUNCTION BY LABELING RED BLOOD CELLS WITH MEASUREMENT OF INTERNAL BLOOD VOLUME EJECTED WITH EVERY BEAT OVER MULTIPLE CYCLES WITH SPECT
78496,NUCLEAR MEDICINE STUDY OF HEART PUMPING FUNCTION OVER SINGLE CYCLE
78499,OTHER NUCLEAR MEDICINE STUDY OF CARDIOVASCULAR SYSTEM
78579,NUCLEAR MEDICINE STUDY OF LUNG VENTILATION
78580,NUCLEAR MEDICINE STUDY OF LUNG CIRCULATION
78582,NUCLEAR MEDICINE STUDY OF LUNG VENTILATION AND CIRCULATION
78597,NUCLEAR MEDICINE STUDY OF LUNG VENTILATION AND BLOOD FLOW TO LUNG
78598,NUCLEAR MEDICINE STUDY OF LUNG VENTILATION AND CIRCULATION AND BLOOD FLOW TO LUNG
78599,OTHER NUCLEAR MEDICINE STUDY OF RESPIRATORY SYSTEM
78600,"NUCLEAR MEDICINE STUDY OF BRAIN, LESS THAN 4 STATIC VIEWS"
78601,NUCLEAR MEDICINE STUDY OF BRAIN AND BLOOD FLOW
78605,"NUCLEAR MEDICINE STUDY OF BRAIN, 4 STATIC VIEWS OR MORE"
78606,"NUCLEAR MEDICINE STUDY OF BRAIN AND BLOOD FLOW, 4 STATIC VIEWS OR MORE"
78607,NUCLEAR MEDICINE STUDY OF BRAIN
78608,NUCLEAR MEDICINE STUDY OF BRAIN WITH METABOLIC EVALUATION
78609,NUCLEAR MEDICINE STUDY OF BRAIN WITH BLOOD FLOW EVALUATION
78610,NUCLEAR MEDICINE STUDY OF BRAIN WITH BLOOD FLOW
78630,NUCLEAR MEDICINE STUDY OF CEREBROSPINAL FLUID FLOW AFTER INJECTION OF CONTRAST INTO LOWER SPINE
78635,NUCLEAR MEDICINE STUDY OF CEREBROSPINAL FLUID FLOW AFTER INJECTION OF CONTRAST INTO VENTRICLES
78645,NUCLEAR MEDICINE STUDY OF CEREBROSPINAL FLUID FLOW TO EVALUATE SHUNT
78647,NUCLEAR MEDICINE STUDY OF BRAIN AND SPINAL CORD FLUID FLOW
78650,NUCLEAR MEDICINE STUDY OF CEREBROSPINAL FLUID FLOW TO LOCATE LEAKAGE
78660,NUCLEAR MEDICINE STUDY OF TEAR DRAINAGE STRUCTURE
78699,OTHER NUCLEAR MEDICINE STUDY OF NERVOUS SYSTEM
78700,NUCLEAR MEDICINE STUDY OF KIDNEY
78701,NUCLEAR MEDICINE STUDY OF KIDNEY AND BLOOD FLOW
78707,"NUCLEAR MEDICINE STUDY OF KIDNEY, BLOOD FLOW, AND FUNCTION"
78708,"NUCLEAR MEDICINE STUDY OF KIDNEY, BLOOD, FLOW, AND FUNCTION WITH DRUG ADMINISTRATION"
78709,"NUCLEAR MEDICINE STUDIES OF KIDNEY, BLOOD FLOW, AND FUNCTION"
78710,NUCLEAR MEDICINE STUDY OF KIDNEY
78725,NUCLEAR MEDICINE STUDY OF KIDNEY FUNCTION
78730,NUCLEAR MEDICINE STUDY OF REMAINING URINE IN BLADDER
78740,NUCLEAR MEDICINE STUDY TO ASSESS URINE FLOW
78761,NUCLEAR MEDICINE STUDY OF TESTICLE AND BLOOD FLOW
78799,OTHER NUCLEAR MEDICINE STUDY OF UROGENITAL SYSTEM
78800,"NUCLEAR MEDICINE STUDY, 1 AREA"
78801,"NUCLEAR MEDICINE STUDY, MULTIPLE AREAS"
78802,"NUCLEAR MEDICINE STUDY, WHOLE BODY"
78803,"NUCLEAR MEDICINE STUDY, SPECT IMAGING, 1 AREA OR SINGLE ACQUISITION, SINGLE DAY IMAGING"
78804,"NUCLEAR MEDICINE STUDY, WHOLE BODY REQUIRING MULTIPLE IMAGING DAYS"
78805,NUCLEAR MEDICINE STUDY OF RADIOACTIVE MATERIAL DISTRIBUTION AT SITE OF INFLAMMATION
78806,NUCLEAR MEDICINE STUDY OF RADIOACTIVE MATERIAL DISTRIBUTION AT SITES OF INFLAMMATION IN WHOLE BODY
78807,NUCLEAR MEDICINE STUDY OF RADIOACTIVE MATERIAL DISTRIBUTION AT SITE OF INFLAMMATION
78808,INJECTION OF RADIOACTIVE CONTRAST INTO A VEIN FOR NON-IMAGING GAMMA PROBE
78811,NUCLEAR MEDICINE STUDY LIMITED AREA
78812,NUCLEAR MEDICINE STUDY FROM SKULL BASE TO MID-THIGH
78813,NUCLEAR MEDICINE STUDY WHOLE BODY
78814,NUCLEAR MEDICINE STUDY LIMITED AREA WITH CT SCAN
78815,NUCLEAR MEDICINE STUDY FROM SKULL BASE TO MID-THIGH WITH CT SCAN
78816,NUCLEAR MEDICINE STUDY WHOLE BODY WITH CT SCAN
78830,"NUCLEAR MEDICINE STUDY, SPECT IMAGING WITH CONCURRENT CT SCAN, 1 AREA OR SINGLE ACQUISITION, SINGLE DAY IMAGING"
78831,"NUCLEAR MEDICINE STUDY, SPECT IMAGING, AT LEAST 2 AREAS OR SEPARATE ACQUISITIONS, SINGLE DAY IMAGING, OR SINGLE AREA OR ACQUISITION OVER MULTIPLE DAYS"
78832,"NUCLEAR MEDICINE STUDY, SPECT IMAGING WITH CONCURRENT CT SCAN, AT LEAST 2 AREAS OR SEPARATE ACQUISITIONS, SINGLE DAY IMAGING, OR SINGLE AREA OR ACQUISITION OVER MULTIPLE DAYS"
78835,QUANTIFICATION OF RADIOACTIVE MATERIALS
78999,OTHER NUCLEAR MEDICINE STUDY
79005,RADIOACTIVE DRUG THERAPY BY MOUTH
79101,RADIOACTIVE DRUG THERAPY THROUGH A VEIN
79200,RADIOACTIVE DRUG THERAPY INTO A BODY CAVITY
79300,RADIOACTIVE DRUG THERAPY INTO A TISSUE
79403,RADIOACTIVE DRUG THERAPY OF RADIOLABELED MONOCLONAL ANTIBODY THROUGH A VEIN
79440,RADIOACTIVE DRUG THERAPY INTO A JOINT
79445,RADIOACTIVE DRUG THERAPY THROUGH A TUBE INSERTED IN AN ARTERY
79999,RADIOACTIVE DRUG THERAPY
80047,"BLOOD TEST, BASIC GROUP OF BLOOD CHEMICALS (CALCIUM, IONIZED)"
80048,"BLOOD TEST, BASIC GROUP OF BLOOD CHEMICALS (CALCIUM, TOTAL)"
80050,GENERAL HEALTH PANEL
80051,"BLOOD TEST PANEL FOR ELECTROLYTES (SODIUM POTASSIUM, CHLORIDE, CARBON DIOXIDE)"
80053,"BLOOD TEST, COMPREHENSIVE GROUP OF BLOOD CHEMICALS"
80055,OBSTETRIC BLOOD TEST PANEL
80061,"BLOOD TEST, LIPIDS (CHOLESTEROL AND TRIGLYCERIDES)"
80069,KIDNEY FUNCTION BLOOD TEST PANEL
80074,ACUTE HEPATITIS PANEL
80076,LIVER FUNCTION BLOOD TEST PANEL
80081,"BLOOD TEST PANEL FOR OBSTETRICS ( CBC, DIFFERENTIAL WBC COUNT, HEPATITIS B, HIV, RUBELLA, SYPHILIS, ANTIBODY SCREENING, RBC, BLOOD TYPING)"
80100,"DRUG SCREEN, MULTIPLE DRUGS"
80101,DRUG SCREEN
80102,DRUG CONFIRMATION TEST
80103,TISSUE PREPARATION FOR DRUG ANALYSIS
80104,"DRUG SCREEN, MULTIPLE DRUGS"
80143,MEASUREMENT OF ACETAMINOPHEN
80145,MEASUREMENT OF ADALIMUMAB
80150,AMIKACIN (ANTIBIOTIC) LEVEL
80151,MEASUREMENT OF AMIODARONE
80152,AMITRIPTYLINE (ANTIDEPRESSANT) LEVEL
80154,BENZODIAZEPINES LEVEL
80155,CAFFEINE LEVEL
80156,"CARBAMAZEPINE LEVEL, TOTAL"
80157,"CARBAMAZEPINE LEVEL, FREE"
80158,CYCLOSPORINE LEVEL
80159,CLOZAPINE LEVEL
80160,DESIPRAMINE LEVEL
80161,"MEASUREMENT OF CARBAMAZEPINE-10,11-EPOXIDE"
80162,"DIGOXIN LEVEL, TOTAL"
80163,"DIGOXIN LEVEL, FREE"
80164,"VALPROIC ACID LEVEL, TOTAL"
80165,"VALPROIC ACID LEVEL, FREE"
80166,DOXEPIN LEVEL
80167,MEASUREMENT OF FELBAMATE
80168,ETHOSUXIMIDE LEVEL
80169,EVEROLIMUS LEVEL
80170,GENTAMICIN (ANTIBIOTIC) LEVEL
80171,GABAPENTIN LEVEL
80172,GOLD LEVEL
80173,HALOPERIDOL LEVEL
80174,IMIPRAMINE LEVEL
80175,LAMOTRIGINE LEVEL
80176,LIDOCAINE LEVEL
80177,LEVETIRACETAM LEVEL
80178,LITHIUM LEVEL
80179,MEASUREMENT OF SALICYLATE
80180,MYCOPHENOLATE (MYCOPHENOLIC ACID) LEVEL
80181,MEASUREMENT OF FLECAINIDE
80182,NORTRIPTYLINE LEVEL
80183,OXCARBAZEPINE LEVEL
80184,PHENOBARBITAL LEVEL
80185,"PHENYTOIN LEVEL, TOTAL"
80186,"PHENYTOIN LEVEL, FREE"
80187,MEASUREMENT OF POSACONAZOLE
80188,PRIMIDONE LEVEL
80189,MEASUREMENT OF ITRACONAZOLE
80190,PROCAINAMIDE LEVEL
80192,"PROCAINAMIDE LEVEL, WITH METABOLITES"
80193,MEASUREMENT OF LEFLUNOMIDE
80194,QUINIDINE LEVEL
80195,SIROLIMUS LEVEL
80196,SALICYLATE (ASPIRIN) LEVEL
80197,TACROLIMUS LEVEL
80198,THEOPHYLLINE LEVEL
80199,TIAGABINE LEVEL
80200,TOBRAMYCIN (ANTIBIOTIC) LEVEL
80201,TOPIRAMATE LEVEL
80202,VANCOMYCIN (ANTIBIOTIC) LEVEL
80203,ZONISAMIDE LEVEL
80204,MEASUREMENT OF METHOTREXATE
80210,MEASUREMENT OF RUFINAMIDE
80220,MEASUREMENT OF HYDROXYCHLOROQUINE
80230,MEASUREMENT OF INFLIXIMAB
80235,MEASUREMENT OF LACOSAMIDE
80280,MEASUREMENT OF VEDOLIZUMAB
80285,MEASUREMENT OF VORICONAZOLE
80299,QUANTITATION OF THERAPEUTIC DRUG
80300,DRUG SCREEN
80301,DRUG SCREEN
80302,DRUG SCREEN
80303,DRUG SCREEN
80304,DRUG SCREEN
